Time,UTC time,Year,Month,Day,Day of week text),Day of year,Hours,Min,Seconds,Time of the day hhminsec,Mins since midnight,Sensor nr,Long (deg),Lat (deg),Altitude (m),Traffic Flow (cars/min)
1662020912,2022-09-01T08:28:32,2022,9,1,Th,244,9,28,32,92832,568,[SCC]1YMD2,-1.48421975,53.38098528,103.438,2.4
1662021212,2022-09-01T08:33:32,2022,9,1,Th,244,9,33,32,93332,573,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0
1662021532,2022-09-01T08:38:52,2022,9,1,Th,244,9,38,52,93852,578,[SCC]1YMD2,-1.48421975,53.38098528,103.438,0
1662021812,2022-09-01T08:43:32,2022,9,1,Th,244,9,43,32,94332,583,[SCC]1YMD2,-1.48421975,53.38098528,103.438,9.6
1662022112,2022-09-01T08:48:32,2022,9,1,Th,244,9,48,32,94832,588,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662022412,2022-09-01T08:53:32,2022,9,1,Th,244,9,53,32,95332,593,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662022714,2022-09-01T08:58:34,2022,9,1,Th,244,9,58,34,95834,598,[SCC]1YMD2,-1.48421975,53.38098528,103.438,14.4
1662023019,2022-09-01T09:03:39,2022,9,1,Th,244,10,3,39,100339,603,[SCC]1YMD2,-1.48421975,53.38098528,103.438,13.6
1662023312,2022-09-01T09:08:32,2022,9,1,Th,244,10,8,32,100832,608,[SCC]1YMD2,-1.48421975,53.38098528,103.438,12
1662023612,2022-09-01T09:13:32,2022,9,1,Th,244,10,13,32,101332,613,[SCC]1YMD2,-1.48421975,53.38098528,103.438,14.4
1662023912,2022-09-01T09:18:32,2022,9,1,Th,244,10,18,32,101832,618,[SCC]1YMD2,-1.48421975,53.38098528,103.438,13.6
1662024212,2022-09-01T09:23:32,2022,9,1,Th,244,10,23,32,102332,623,[SCC]1YMD2,-1.48421975,53.38098528,103.438,17.6
1662024512,2022-09-01T09:28:32,2022,9,1,Th,244,10,28,32,102832,628,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662024812,2022-09-01T09:33:32,2022,9,1,Th,244,10,33,32,103332,633,[SCC]1YMD2,-1.48421975,53.38098528,103.438,12
1662025112,2022-09-01T09:38:32,2022,9,1,Th,244,10,38,32,103832,638,[SCC]1YMD2,-1.48421975,53.38098528,103.438,15.2
1662025412,2022-09-01T09:43:32,2022,9,1,Th,244,10,43,32,104332,643,[SCC]1YMD2,-1.48421975,53.38098528,103.438,14.4
1662025712,2022-09-01T09:48:32,2022,9,1,Th,244,10,48,32,104832,648,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662026012,2022-09-01T09:53:32,2022,9,1,Th,244,10,53,32,105332,653,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662026313,2022-09-01T09:58:33,2022,9,1,Th,244,10,58,33,105833,658,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662026612,2022-09-01T10:03:32,2022,9,1,Th,244,11,3,32,110332,663,[SCC]1YMD2,-1.48421975,53.38098528,103.438,13.6
1662026912,2022-09-01T10:08:32,2022,9,1,Th,244,11,8,32,110832,668,[SCC]1YMD2,-1.48421975,53.38098528,103.438,18.4
1662027212,2022-09-01T10:13:32,2022,9,1,Th,244,11,13,32,111332,673,[SCC]1YMD2,-1.48421975,53.38098528,103.438,15.2
1662027512,2022-09-01T10:18:32,2022,9,1,Th,244,11,18,32,111832,678,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16
1662027812,2022-09-01T10:23:32,2022,9,1,Th,244,11,23,32,112332,683,[SCC]1YMD2,-1.48421975,53.38098528,103.438,16.8
1662028112,2022-09-01T10:28:32,2022,9,1,Th,244,11,28,32,112832,688,[SCC]1YMD2,-1.48421975,53.38098528,103.438,14.4
